29/09/2018;america-mg;corinthians;empate;0,0;R$ 99.755,00;6617
29/09/2018;bahia;flamengo;empate;0,0;R$ 1.171.225,00;31059
30/09/2018;palmeiras;cruzeiro;palmeiras;3,1;R$ 1.260.130,00;32440
30/09/2018;internacional;vitoria;internacional;2,1;R$ 921.900,00;33347
30/09/2018;santos;atletico-pr;santos;1,0;R$ 141.227,00;7802
30/09/2018;botafogo;sao-paulo;empate;2,2;R$ 285.760,00;18403
30/09/2018;atletico-mg;sport;atletico-mg;5,2;R$ 252.708,00;21120
30/09/2018;ceara;chapecoense;ceara;3,1;R$ 310.170,00;27485
01/10/2018;parana;vasco;empate;1,1;R$ 100.535,00;3210
05/10/2018;sport;internacional;sport;2,1;R$ 52.510,00;4975
05/10/2018;corinthians;flamengo;flamengo;0,3;R$ 1.381.719,00;41693
05/10/2018;vitoria;santos;santos;0,1;R$ 57.716,00;7478
06/10/2018;atletico-pr;america-mg;atletico-pr;4,0;R$ 116.800,00;6817
06/10/2018;chapecoense;atletico-mg;chapecoense;1,0;R$ 198.705,00;9484
06/10/2018;sao-paulo;palmeiras;palmeiras;0,2;R$ 2.959.044,00;56694
06/10/2018;gremio;bahia;empate;2,2;R$ 992.980,00;29612
08/10/2018;fluminense;parana;fluminense;4,0;R$ 128.405,00;6223
09/10/2018;botafogo;vasco;empate;1,1;R$ 179.210,00;9357
24/10/2018;cruzeiro;ceara;ceara;0,2;R$ 204.315,00;12058
13/10/2018;flamengo;fluminense;flamengo;3,0;R$ 1.140.402,00;48894
13/10/2018;santos;corinthians;santos;1,0;R$ 778.974,50;24123
13/10/2018;bahia;parana;bahia;2,0;R$ 256.259,00;29215
14/10/2018;chapecoense;vitoria;vitoria;0,1;R$ 116.000,00;5717
14/10/2018;vasco;cruzeiro;vasco;2,0;R$ 249.945,00;10841
14/10/2018;palmeiras;gremio;palmeiras;2,0;R$ 1.254.125,00;32915
14/10/2018;internacional;sao-paulo;internacional;3,1;R$ 1.307.521,00;40345
14/10/2018;atletico-mg;america-mg;empate;0,0;R$ 181.204,00;19362
14/10/2018;atletico-pr;sport;atletico-pr;4,0;R$ 196.235,00 ;9139
15/10/2018;ceara;botafogo;empate;0,0;R$ 402.313,00;29394
20/10/2018;botafogo;bahia;bahia;0,1;R$ 107.695,00;7097
